	metabolite	logFC	statistic	P.Value	q	hmdb	metab_ids
255	N6,N6,N6-trimethyllysine	-0.11065691580764156	0.8447061860946757	0.3982749047279266	0.6260345597252425	HMDB01325	HMDB01325
256	octadecanedioate (C18-DC)	0.15341674152262114	-0.8362871875621707	0.40299335928732183	0.629600567397214	HMDB00782	HMDB00782
257	3-methoxytyrosine	0.2697043746605445	-0.8375537202454009	0.406688263344565	0.6302303802338356	HMDB01434	HMDB01434
258	sulfamethoxazole	0.8202894629531854	-0.8374496548638037	0.4070748759487032	0.6302303802338356	HMDB15150	HMDB15150
259	aspartate	0.13854089325043242	-0.8235057546243565	0.4142232374960936	0.6374573175838086	HMDB00191	HMDB00191
260	glycolithocholate sulfate*	-0.15532542145382544	0.8205088437830966	0.4163446779017478	0.6385438442305889	HMDB02639	HMDB02639
261	4-acetamidobutanoate	0.14882001376313098	-0.8176207233488043	0.4179524032518799	0.6385438442305889	HMDB03681	HMDB03681
262	1-arachidonoyl-GPI (20:4)*	0.14718256793348358	-0.8161109358180546	0.4186561780266701	0.6385438442305889	HMDB61690	HMDB61690
263	linoleoylcarnitine (C18:2)*	-0.14213288496337184	0.8102533750672996	0.4221768040264494	0.6402679142292196	HMDB06469	HMDB06469
264	4-acetaminophen sulfate	-17.581422286699304	0.8051223732201789	0.4222778656103219	0.6402679142292196	HMDB59911	HMDB59911
265	1-oleoyl-GPC (18:1)	-0.15614378254549724	0.803671062767404	0.42593388373065144	0.6429125336312868	HMDB02815	HMDB02815
266	sulfate*	-0.15864022206902967	0.8022606773310186	0.4265236847631688	0.6429125336312868	HMDB01448	HMDB01448
267	N4-acetylcytidine	0.1680243014811999	-0.7931842121795585	0.43200854677855405	0.6492760030531485	HMDB05923	HMDB05923
268	pyroglutamine*	0.1307533519253529	-0.7902429994023258	0.4334759318663617	0.6495820086860348	HMDB62558	HMDB62558
269	uridine	0.14118486697786853	-0.7801605306788035	0.4352963911149411	0.6504137937008132	HMDB00296	HMDB00296
270	arachidate (20:0)	-0.13628710570430433	0.7803199253532379	0.4386547517855892	0.6535320070080953	HMDB02212	HMDB02212
271	homocitrulline	0.13117109944424743	-0.7771611794663662	0.44051573949716305	0.6544077748599474	HMDB00679	HMDB00679
272	2-stearoyl-GPE (18:0)*	-0.1475485582447634	0.7709125727342807	0.4449345058915075	0.6554672746066083	HMDB11129	HMDB11129
273	1-stearoyl-GPE (18:0)	-0.15533106323388202	0.7706964440767707	0.4450546280889227	0.6554672746066083	HMDB11130	HMDB11130
274	hydroxycotinine	0.50083695050123	-0.7607347530339107	0.4508682634221025	0.6606525638764814	HMDB01390	HMDB01390
275	phosphate	-0.130170184617516	0.7487372387509633	0.4575125616805118	0.6661253166370914	HMDB01429	HMDB01429
276	glycylphenylalanine	0.13856020520620752	-0.7474167803684915	0.45818265363275523	0.6661253166370914	HMDB28848	HMDB28848
277	taurodeoxycholate	-0.20227656692509607	0.7408718708604465	0.4587711324699034	0.6661253166370914	HMDB00896	HMDB00896
278	tiglylcarnitine (C5:1-DC)	-0.13877588290271103	0.7296465394837731	0.4656062669177886	0.6722517449318633	HMDB02366	HMDB02366
279	oleoyl ethanolamide	0.14123634765299517	-0.7296753520704509	0.4696510071891207	0.6731469666349307	HMDB02088	HMDB02088
280	4-acetamidophenol	-0.9353183007813148	0.7262354050907158	0.47020235099631225	0.6731469666349307	HMDB01859	HMDB01859
