	feature	logFC	statistic	P.Value
0	HMDB00177	-0.8864467629918469	4.5013578820460465	6.75207054470624e-06
1	HMDB00094	-0.8574286714132785	3.951316644589048	7.772240795323087e-05
2	HMDB00026	0.5264351033979635	-3.631394700353855	0.00028189367320888736
3	HMDB00929	-0.7180532528326858	3.6033313719121716	0.00031416459182427873
4	HMDB00063	0.49931475841718725	-3.5247540522754575	0.0004238761430757605
5	HMDB00167	-0.7040736046051518	3.4854653924571006	0.0004912817677575671
6	HMDB11745	0.4941522157634579	-3.6979611350373647	0.0005201114146982434
7	HMDB00089	0.637875052420404	-3.4209197370412285	0.0006240974795903514
8	HMDB00641	-0.6754171161133249	3.378824744378703	0.0007279639889867586
9	HMDB02829	-0.6375561182671236	3.356374081625356	0.000789716726834692
10	HMDB00190	0.4617229140314904	-3.3451487502486827	0.000822384515783466
11	HMDB01954	-0.6757020579280536	3.2244764379494435	0.0012620324149717629
12	HMDB00772	-0.6005239517205204	3.2020257751960965	0.0013646478693387534
13	HMDB00606	0.4203601371509584	-3.3462837838376176	0.0014286580111453825
14	HMDB29006	-0.6452665575243407	3.182381445286918	0.0014606930283127947
15	HMDB00673	-0.6087317415353712	3.1150294570268775	0.001839265410782716
16	HMDB02259	-0.5896192936239614	3.064515465831847	0.002180229014198241
17	HMDB00696	-0.5550814402675471	3.0364521373901634	0.002393801100108023
18	HMDB00148	0.4146660026721813	-2.9354241550001023	0.003330920298041137
19	HMDB00512	0.4143909572300002	-2.9298114893117657	0.0033916769170273015
20	HMDB00884	-0.5005972150549945	2.9185861579350925	0.003516226905004958
21	HMDB29131	-0.533810789152996	2.912973492246756	0.003580049900268687
22	HMDB00243	0.5093903315542939	-2.8961354951817455	0.0037778924342026328
23	HMDB60013	-0.48582560431791905	3.0296883946798583	0.003812620376117478
24	HMDB00462	0.39447878513665974	-2.83720250545421	0.004551073663670601
25	HMDB02759	-0.574931841208579	2.7951075127916845	0.005188245780158534
26	HMDB00098	0.5062844069636407	-2.789494847103348	0.0052790336497650315
27	HMDB41623	0.40464280887472337	-2.783882181415011	0.005371254121580114
28	HMDB02203	-0.5806312608898947	2.7782695157266746	0.005464926850668793
29	HMDB02302	-0.524541169267236	2.9126554410915633	0.005538066927602423
30	HMDB00195	0.41263880851192186	-2.767044184350001	0.0056567087889758125
31	HMDB11507	-0.5641476583281236	2.671628867648277	0.007548408247941563
32	HMDB00623	-0.5252893337829405	2.660403536271603	0.007804708022310864
33	HMDB03073	-0.5702051269345397	2.657597203427435	0.00786998915281155
34	HMDB60038	-0.4825183573051655	2.6547908705832666	0.00793575897643871
35	HMDB01931	-0.536750415829043	2.6435655392065933	0.008203788167663836
36	HMDB11738	-0.5305628693734448	2.747791137444026	0.008343494496045734
